,0,1,2,status
0,thebkoof,0.18402777698066522,297,winner
1,laurenburnham91,0.12502299100310463,66,loser
2,KendallPatrice,0.24562225740023122,186,loser
3,tiarachel91,0.14304354696324176,501,loser
4,whats_ur_sign_,0.1433547220280666,439,loser
5,seinnefleming,0.21124495769382134,66,loser
6,trumbullina,0.22194444444444442,45,loser
7,Chelsea_roy_,-0.19702380952380952,7,loser
8,jennaacooperr,0.0,0,loser
9,CoachKrystal__,0.0,0,loser
10,ashleyluebke,0.10833333333333334,3,loser
11,maquelx,0.0,0,loser
12,maroosworld,0.24195906432748537,19,loser
13,ohhaybtay,0.11383522727272728,5,loser
14,CarolineLunny,0.10687195023543705,95,loser
15,bibi_julz,0.18193994731138985,126,loser
16,annaliese_p_,0.09812500000000002,8,loser
17,LaurenSchleyer,0.2363033234126984,24,loser
18,jdelaneydesigns,-0.45,1,loser
19,laurenmarguerit,0.016666666666666666,3,loser
20,valeriebiles,0.0,0,loser
21,ali_harrington_,0.0,0,loser
22,AmberWilk,0.2777777777777777,1,loser
23,BriAmaranthus,0.18789930555555556,48,loser
24,Britt_doll_,0.0,0,loser
25,JessCarrollTV,0.0,1,loser
26,laurenj225,0.0,0,loser
27,nyshaxoxo,0.0,0,loser
28,oliviagoethals4,0.0,0,loser
0,CassieRandolph,0.18213278439166927,209,winner
1,hannahg11,-0.003086419753086423,27,loser
2,TayshiaAdams,0.11799242424242423,18,loser
3,caelynnmk,0.228739464131906,43,loser
4,KirpaSudick,0.05265873015873016,14,loser
5,HMartin1983,0.0,0,loser
6,hannahbrown,0.0,2,loser
7,hellokatiemo,0.09999999999999999,7,loser
8,demi_burnett,0.15595842536902987,305,loser
9,SydneyLotuaco,0.16033972537878788,8,loser
10,Nicole Lopez-Alvar,0.0,0,loser
11,onyekaehie,0.0,0,loser
12,elysemichelle26,0.0,0,loser
13,CourtneyGTV,0.0,0,loser
14,tracyshapoff,0.0,0,loser
15,bri_ashbarnes,-0.05,2,loser
16,missagro_,0.0,0,loser
17,nina.bartula,0.0,0,loser
18,cclemmentine,0.0,0,loser
19,alexblumberg,0.0,0,loser
20,ang_sherm,0.0,0,loser
21,annerearend,0.0,0,loser
22,enuttss,0.0,0,loser
23,alexdillon60,0.18333333333333335,3,loser
24,DevinGooden,0.0,0,loser
25,landry_erin,0.0,0,loser
26,janeaverbukh,0.0,0,loser
27,laura_pellerito,0.0,0,loser
28,ChangRevian,0.0,0,loser
29,TahzjuanHawkins,0.0,1,loser
0,WyattJed,0.5,2,winner
1,TylerCameron3,0.0,0,loser
2,PeterWeber,0.0,1,loser
3,LukeParker,0.0,0,loser
4,RgarrettP,0.1888562091503268,34,loser
5,MikeJohnson,0.06913109168059664,303,loser
6,consaelaway,0.0,0,loser
7,dustinbkendrick,0.0,0,loser
8,dylanbarbour,0.0,0,loser
9,DevinHarris,0.021354166666666667,4,loser
10,GEEmann123,0.0,0,loser
11,KevinFortenberry,0.0,0,loser
12,JohnPaul,0.1065829473074696,157,loser
13,MatteoValles,0.5714285714285714,2,loser
14,LukeStone,0.07539682539682539,14,loser
15,CamRonAyala,0.03571428571428571,7,loser
16,JoeyJones,0.22276785714285713,8,loser
17,JonathanSaunders,0.0,0,loser
18,TylerGwozdz,0.0,0,loser
19,ConnorLoo,0.3020833333333333,4,loser
20,daronblaylock,0.0,0,loser
21,MattSpraggins_,0.0,0,loser
22,BrianBowles,0.0,2,loser
23,chasen_michael,0.0,0,loser
24,HunterJoness,-0.5,1,loser
25,JoeBarsano,0.0,0,loser
26,MattDonald,0.0,4,loser
27,RyanSpirko,0.0,0,loser
28,ThomasStaton,0.0,0,loser
29,ScottAndersen,0.0,0,loser
